movie_title,person_name,production_budget,domestic_gross,roi_domestic,worldwide_gross,roi_worldwide,movie_id
Don't Be Afraid of the Dark,Troy Nixey,25000000.0,24046682.0,0.96186728,39126427.0,1.56505708,46261
The Illusionist,Sylvain Chomet,16500000.0,39868642.0,2.4162813333333335,83792062.0,5.0783067878787875,41201
Stone,John Curran,22000000.0,1810078.0,0.0822762727272727,4065020.0,0.1847736363636363,44113
Welcome to the Rileys,Jake Scott,10000000.0,152857.0,0.0152857,355919.0,0.0355919,31007
Rubber,Quentin Dupieux,500000.0,100370.0,0.20074,680914.0,1.361828,45649
Going the Distance,Nanette Burstein,32000000.0,17804299.0,0.55638434375,43603990.0,1.3626246875,38073
The Warrior's Way,Lee Seung-moo,42000000.0,5666340.0,0.1349128571428571,8514325.0,0.2027220238095238,46528
Get Low,Aaron Schneider,7000000.0,9176933.0,1.310990428571429,10828305.0,1.5469007142857143,44718
The Runaways,Floria Sigismondi,9500000.0,3573673.0,0.3761761052631578,5278632.0,0.5556454736842106,27586
Paranormal Activity 2,Tod Williams,3000000.0,84752907.0,28.250969,177512032.0,59.17067733333333,41436
Hereafter,Clint Eastwood,50000000.0,32746941.0,0.65493882,108660270.0,2.1732054,44603
All Good Things,Andrew Jarecki,20000000.0,582024.0,0.0291012,873617.0,0.04368085,46503
Defendor,Peter Stebbings,3750000.0,44462.0,0.0118565333333333,44462.0,0.0118565333333333,34769
The Ghost Writer,Roman Polanski,45000000.0,15541549.0,0.3453677555555555,65532491.0,1.456277577777778,11439
Derailed,Mikael Håfström,22000000.0,36020063.0,1.6372755909090908,57520063.0,2.6145483181818183,8999
She's Out of My League,Jim Field Smith,20000000.0,32010860.0,1.600543,48680977.0,2.43404885,34016
Triangle,Christopher Smith,12000000.0,0.0,0.0,1594955.0,0.1329129166666666,26466
The Switch,Will Speck,19000000.0,27758465.0,1.460971842105263,49858465.0,2.624129736842105,41210
The Switch,Josh Gordon,19000000.0,27758465.0,1.460971842105263,49858465.0,2.624129736842105,41210
Cyrus,Jay Duplass,7000000.0,7468936.0,1.0669908571428572,10062896.0,1.4375565714285714,39053
Cyrus,Mark Duplass,7000000.0,7468936.0,1.0669908571428572,10062896.0,1.4375565714285714,39053
Lottery Ticket,Erik White,17000000.0,24719879.0,1.4541105294117649,24719879.0,1.4541105294117649,41382
Biutiful,Alejandro González Iñárritu,35000000.0,5101237.0,0.1457496285714285,24687524.0,0.7053578285714286,45958
MacGruber,Jorma Taccone,10000000.0,8525600.0,0.85256,8629895.0,0.8629895,37931
Reign of Assassins,Su Chaobin,14000000.0,0.0,0.0,11354230.0,0.8110164285714285,44092
Somewhere,Sofia Coppola,7000000.0,1785645.0,0.2550921428571429,17023121.0,2.4318744285714287,39210
Country Strong,Shana Feste,15000000.0,20218921.0,1.3479280666666666,20601987.0,1.3734658,45272
The Nutcracker in 3D,Andrei Konchalovsky,90000000.0,195459.0,0.0021717666666666,20466016.0,0.2274001777777777,49852
Oceans,Jacques Perrin,80000000.0,19422319.0,0.2427789875,86787530.0,1.084844125,36970
Conviction,Tony Goldwyn,12500000.0,6797696.0,0.54381568,11826980.0,0.9461584,45094
Ramona and Beezus,Elizabeth Allen Rosenbaum,15000000.0,26167002.0,1.7444668,27469621.0,1.8313080666666663,38843
Barney's Version,Richard J. Lewis,30000000.0,7502560.0,0.2500853333333333,8845575.0,0.2948525,46829
Meek's Cutoff,Kelly Reichardt,2000000.0,977772.0,0.488886,1869928.0,0.934964,57120
Made in Dagenham,Nigel Cole,8000000.0,1095369.0,0.136921125,15644196.0,1.9555245,46138
Hesher,Spencer Susser,7000000.0,382946.0,0.0547065714285714,382946.0,0.0547065714285714,44835
Nowhere Boy,Sam Taylor-Johnson,1900000.0,1445366.0,0.760718947368421,7785229.0,4.097488947368421,33511
The Killer Inside Me,Michael Winterbottom,13000000.0,217277.0,0.0167136153846153,3617277.0,0.2782520769230769,37414
Just Wright,Sanaa Hamri,12000000.0,21540363.0,1.79503025,21867665.0,1.8223054166666663,38093
Death at a Funeral,Neil LaBute,21000000.0,42739347.0,2.035207,48977233.0,2.3322491904761904,34803
Shanghai,Mikael Håfström,50000000.0,46425.0,0.0009285,15505922.0,0.31011844,38407
Tiny Furniture,Lena Dunham,50000.0,391674.0,7.83348,424149.0,8.48298,47607
Why Did I Get Married Too?,Tyler Perry,20000000.0,60095852.0,3.0047926,60831067.0,3.04155335,35688
Dinner for Schmucks,Jay Roach,69000000.0,73026337.0,1.0583527101449277,86796502.0,1.2579203188405796,38778
Carlos,Olivier Assayas,18000000.0,145526.0,0.0080847777777777,1619153.0,0.0899529444444444,43434
Chain Letter,Deon Taylor,3000000.0,205842.0,0.068614,1022453.0,0.3408176666666667,38033
The Joneses,Derrick Borte,10000000.0,1475746.0,0.1475746,3541565.0,0.3541565,41479
Extraordinary Measures,Tom Vaughan,31000000.0,12482741.0,0.402669064516129,15826984.0,0.5105478709677419,27569
The Tempest,Julie Taymor,20000000.0,277943.0,0.01389715,277943.0,0.01389715,44638
You Will Meet a Tall Dark Stranger,Woody Allen,15000000.0,3247816.0,0.2165210666666666,34247816.0,2.2831877333333335,38031
Love Ranch,Taylor Hackford,25000000.0,137885.0,0.0055154,146149.0,0.00584596,39845
The Perfect Host,Nicholas Tomnay,1000000.0,48764.0,0.048764,51587.0,0.051587,66195
Kites,Anurag Basu,9200000.0,1685269.0,0.1831814130434782,17155193.0,1.8646948913043475,37737
Leaves of Grass,Tim Blake Nelson,9000000.0,70066.0,0.0077851111111111,85527.0,0.009503,12834
Please Give,Nicole Holofcener,3000000.0,4033574.0,1.3445246666666666,4570178.0,1.5233926666666666,40247
High School,John Stalberg Jr.,10000000.0,139034.0,0.0139034,248133.0,0.0248133,27584
Freakonomics,Rachel Grady,2900000.0,101270.0,0.0349206896551724,172867.0,0.0596093103448275,43942
Freakonomics,Morgan Spurlock,2900000.0,101270.0,0.0349206896551724,172867.0,0.0596093103448275,43942
Freakonomics,Alex Gibney,2900000.0,101270.0,0.0349206896551724,172867.0,0.0596093103448275,43942
Freakonomics,Heidi Ewing,2900000.0,101270.0,0.0349206896551724,172867.0,0.0596093103448275,43942
Freakonomics,Seth Gordon,2900000.0,101270.0,0.0349206896551724,172867.0,0.0596093103448275,43942
Freakonomics,Eugene Jarecki,2900000.0,101270.0,0.0349206896551724,172867.0,0.0596093103448275,43942
The Cry of the Owl,Jamie Thraves,11500000.0,0.0,0.0,0.0,0.0,18530
Sherlock Holmes,Rachel Lee Goldenberg,90000000.0,209028679.0,2.3225408777777776,498438212.0,5.538202355555556,33555
The Reef,Andrew Traucki,10000000.0,0.0,0.0,15037867.0,1.5037867,49787
Barry Munday,Chris D'Arienzo,3000000.0,0.0,0.0,0.0,0.0,44594
The Extra Man,Shari Springer Berman,7000000.0,453377.0,0.0647681428571428,492108.0,0.0703011428571428,47088
The Extra Man,Robert Pulcini,7000000.0,453377.0,0.0647681428571428,492108.0,0.0703011428571428,47088
Our Family Wedding,Rick Famuyiwa,14000000.0,20255281.0,1.4468057857142858,21410546.0,1.5293247142857145,34563
Icarus,Dolph Lundgren,6000000.0,0.0,0.0,0.0,0.0,35402
The Perfect Game,William Dear,12500000.0,1089445.0,0.0871556,3931367.0,0.31450936,56601
The Virginity Hit,Andrew Gurland,2000000.0,636706.0,0.318353,636706.0,0.318353,42889
The Virginity Hit,Huck Botko,2000000.0,636706.0,0.318353,636706.0,0.318353,42889
My Girlfriend's Boyfriend,Daryn Tufts,1400000.0,0.0,0.0,0.0,0.0,46198
Letters to God,David Nixon,3000000.0,2848587.0,0.949529,3237452.0,1.0791506666666666,35691
Letters to God,Patrick Doughtie,3000000.0,2848587.0,0.949529,3237452.0,1.0791506666666666,35691
Middle of Nowhere,John Stockwell,200000.0,236806.0,1.18403,236806.0,1.18403,19688
Christmas Mail,John Murlowski,2500000.0,0.0,0.0,0.0,0.0,76706
Tracker,Ian Sharp,6500000.0,0.0,0.0,3149.0,0.0004844615384615,62255
"Fat, Sick & Nearly Dead",Joe Cross,2600000.0,0.0,0.0,0.0,0.0,72914
"Fat, Sick & Nearly Dead",Kurt Engfehr,2600000.0,0.0,0.0,0.0,0.0,72914
The Dead Undead,Matthew R. Anderson,1100000.0,0.0,0.0,0.0,0.0,53502
The Dead Undead,Edward Conna,1100000.0,0.0,0.0,0.0,0.0,53502
For Colored Girls,Tyler Perry,21000000.0,37729698.0,1.7966522857142857,38017873.0,1.8103749047619049,44944
Sea Rex 3D: Journey to a Prehistoric World,Ronan Chapalain,5000000.0,6096582.0,1.2193164,16515203.0,3.3030406,78394
Sea Rex 3D: Journey to a Prehistoric World,Pascal Vuong,5000000.0,6096582.0,1.2193164,16515203.0,3.3030406,78394
A Shine of Rainbows,Vic Sarin,6000000.0,0.0,0.0,0.0,0.0,37206
Mao's Last Dancer,Bruce Beresford,18000000.0,4806750.0,0.2670416666666667,25941437.0,1.4411909444444444,33870
Circle,Michael W. Watkins,2000000.0,10024.0,0.005012,10024.0,0.005012,47654
The Kid,Nick Moran,65000000.0,69688384.0,1.0721289846153843,69688384.0,1.0721289846153843,28987
Detention,James D.R. Hickox,10000000.0,0.0,0.0,0.0,0.0,108993
The Good Heart,Dagur Kári,3800000.0,20930.0,0.0055078947368421,340930.0,0.0897184210526315,5178
8: The Mormon Proposition,Reed Cowan,2500000.0,100280.0,0.040112,100280.0,0.040112,40428
8: The Mormon Proposition,Steven Greenstreet,2500000.0,100280.0,0.040112,100280.0,0.040112,40428
Pixels,Patrick Jean,90000000.0,78765986.0,0.8751776222222222,244041804.0,2.7115756,136921
The 5th Quarter,Rick Bieber,6000000.0,408159.0,0.0680265,408159.0,0.0680265,59728
3 Backyards,Eric Mendelsohn,300000.0,39475.0,0.1315833333333333,39475.0,0.1315833333333333,68412
The Hammer,Oren Kaplan,850000.0,442638.0,0.5207505882352941,442638.0,0.5207505882352941,74447
Sparkle,Tom Hunsinger,10000000.0,24397469.0,2.4397469,24660323.0,2.4660323,43044
Sparkle,Neil Hunter,10000000.0,24397469.0,2.4397469,24660323.0,2.4660323,43044
Brother,Marcel Rasquin,12000000.0,450594.0,0.0375495,450594.0,0.0375495,51976
Drones,Amber Benson,500000.0,0.0,0.0,0.0,0.0,49250
Drones,Adam Busch,500000.0,0.0,0.0,0.0,0.0,49250
Bones,Frank Pestarino,10000000.0,7316658.0,0.7316658,8378853.0,0.8378853,160210
The Christmas Bunny,Tom Seidman,250000.0,0.0,0.0,0.0,0.0,77934
Lies in Plain Sight,Patricia Cardoso,2100000.0,0.0,0.0,0.0,0.0,69640
The Fog,Ivan Shurhovetsky,18000000.0,29511112.0,1.6395062222222223,37048526.0,2.0582514444444446,49426
The Fog,Artyom Aksenenko,18000000.0,29511112.0,1.6395062222222223,37048526.0,2.0582514444444446,49426
Blood Done Sign My Name,Jeb Stuart,10000000.0,109383.0,0.0109383,109383.0,0.0109383,41894
It's a Wonderful Afterlife,Gurinder Chadha,10000000.0,0.0,0.0,1642939.0,0.1642939,42057
Standing Ovation,Stewart Raffill,5600000.0,531806.0,0.0949653571428571,531806.0,0.0949653571428571,55567
Good Intentions,Jim Issa,10000000.0,0.0,0.0,0.0,0.0,34417
N-Secure,David M. Matthews,1600000.0,2595644.0,1.6222775,2595644.0,1.6222775,66468
Held Up,Arthur Mulholland,8000000.0,4714090.0,0.58926125,4714090.0,0.58926125,60961
Logan,Kyle Lawrence,127000000.0,226277068.0,1.7817091968503938,615461394.0,4.846152708661418,44010
Logan,Caleb Doyle,127000000.0,226277068.0,1.7817091968503938,615461394.0,4.846152708661418,44010
The Guardian,Jonathan Heidelberger,70000000.0,55011732.0,0.7858818857142857,94973540.0,1.3567648571428572,248649
Get Out,Pascal Han-Kwan,5000000.0,176040665.0,35.208133,255367951.0,51.0735902,130627
Get Out,Tristan Reinarz,5000000.0,176040665.0,35.208133,255367951.0,51.0735902,130627
Get Out,Fanny Roche,5000000.0,176040665.0,35.208133,255367951.0,51.0735902,130627
Get Out,Charlotte Boisson,5000000.0,176040665.0,35.208133,255367951.0,51.0735902,130627
Get Out,Julien Fourvel,5000000.0,176040665.0,35.208133,255367951.0,51.0735902,130627
I Want Your Money,Ray Griggs,400000.0,433588.0,1.08397,433588.0,1.08397,47546
Resident Evil: Afterlife,Paul W. S. Anderson,57500000.0,60128566.0,1.0457141913043475,295874190.0,5.145638086956522,35791
Rust,Corbin Bernsen,250000.0,0.0,0.0,0.0,0.0,46252
The Gift,Matthew Jankes,10000000.0,12008642.0,1.2008642,44567606.0,4.4567606,325303
No Man's Land,Daniel Hahn,1000000.0,1067481.0,1.067481,2684207.0,2.684207,209702
Plastic,Jose Carlos Gomez,10000000.0,0.0,0.0,575371.0,0.0575371,135446
Vampires,Nick DiLiberto,20000000.0,20268825.0,1.01344125,20268825.0,1.01344125,487215
Alice in Wonderland,James Fotopoulos,200000000.0,334191110.0,1.67095555,1025491110.0,5.12745555,423971
The Raven,Ricardo de Montreuil,26000000.0,16008272.0,0.6157027692307693,30601801.0,1.176992346153846,45168
Butterfly,Edward E. Romero,250000.0,0.0,0.0,0.0,0.0,127209
Anderson's Cross,Jerome Elston Scott,300000.0,0.0,0.0,0.0,0.0,324352
